BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t28,48086.74503948047,0.000273926086768543,-0.000192519105208585,2272.008455081863,-5404.446251222449,5.460373656738514e-7,6.10489581311243e-8,3851.688327664163,-54.5013923813241,-48501.0,6390.90406807657,0.00028025031406975426,-0.0002030295266160674,126.20166741813324,-218.4147008967679,5.440331341684343e-7,6.40552532183115e-8,-3851.688327664163,-54.5013923813241,-2338.0
t29,47444.831911871384,0.0002741827945883477,-0.00019214704197111678,2591.966496609818,-3118.211487941392,5.458641521053119e-7,6.104361151403387e-8,3433.5760730281368,-48.58510397836491,-50059.0,6006.763507777913,0.0002797192933260105,-0.00020321880258385866,134.81705858602993,-190.83436248772347,5.441396793083421e-7,6.401655654515509e-8,-3433.5760730281368,-48.58510397836491,-2420.0
t30,49744.98277830919,0.0002677454680020421,-0.00019704091443102092,3060.657998008589,-2456.3070399482867,5.422011086683399e-7,6.102455300116996e-8,3208.4584395162888,-45.39968946956532,-53271.0,5886.5798810351735,0.00027591998178577465,-0.00020591165351628056,159.5042271703134,-165.82636036619851,5.439266370253309e-7,6.388006887943076e-8,-3208.4584395162888,-45.39968946956532,-2581.0
t31,52765.12665767627,0.0002782850575869975,-0.00019355973358252718,4270.667964622062,-2045.9051458378744,5.427542381398218e-7,6.102594836319812e-8,3712.157364986329,-52.527029265546254,-58401.0,6537.66695094927,0.0002864553299441204,-0.00020097539600164358,233.6599810674645,-98.11559458769716,5.447793269920631e-7,6.36736289465518e-8,-3712.157364986329,-52.527029265546254,-2856.0
t32,52142.07979250174,0.00027438659187897465,-0.00019567538515431943,5334.571450792408,-322.4535334435637,5.426765504552219e-7,6.102499939960201e-8,3584.228757972125,-50.716839478096375,-60441.0,6390.904089300709,0.00028735390278295604,-0.00020300902199257175,289.56759893304,-54.80933625888722,5.449654874121875e-7,6.36116447416174e-8,-3584.228757972125,-50.716839478096375,-2940.0
t33,53418.32715524996,0.00020160146484508447,-0.0002649855156839628,5295.473020242982,-3407.626753296856,5.475571815192051e-7,6.10321740202162e-8,5568.405387126688,-78.79293884455717,-60521.0,8552.509656058688,0.00020873216151204437,-0.0002760513487262437,287.44383334261204,-184.96215787437683,5.444433386173808e-7,6.362559665761943e-8,-5568.405387126688,-78.79293884455717,-2929.0
t34,55923.00226327637,0.00012065715295685113,-249.08010686072862,4043.3447474153754,-5723.080484547292,5.428400762808902e-7,6.099601513984031e-8,6441.08915841635,-91.14141444538697,-60057.0,9919.37212125823,0.00012789730183575718,-195.87269898731665,201.64436268695442,-415.7719261567662,5.452386979477466e-7,6.348174317160937e-8,-6441.08915841635,-91.14141444538697,-2886.0
t35,48722.43759242592,0.00011980651732419018,-193.91905788216891,4553.339324880472,-1881.3130823298934,5.427523327397118e-7,6.099509956586371e-8,8914.734978173563,-126.14350280395061,-59667.0,12219.643975920091,0.0001275538816973545,-169.60752282349364,215.77155538566626,-228.7861528634008,5.452294472720955e-7,6.349087064933286e-8,-8914.734978173563,-126.14350280395061,-2870.0
t36,51981.14027793083,0.00012737674184557275,-510.0112001335844,3833.2500966279194,-6982.9657450219165,5.467743694833086e-7,6.100619125427725e-8,10372.110032236591,-146.76535977831142,-58204.0,13878.283394593707,0.00013123091680575274,-412.24079104443314,213.71923572900408,-228.12121932319081,5.435220046900608e-7,6.369127365820947e-8,-10372.110032236591,-146.76535977831142,-2786.0
t37,48511.42397117401,0.0001221515709233711,-484.4143086616397,3965.6109683283566,-5247.273187580569,5.467559990399702e-7,6.100871482079365e-8,10842.487711963557,-153.4212039558638,-57085.0,14294.876534210945,0.0001286617055513695,-401.68938024038965,218.6378819145489,-233.49504527815762,5.428990588888377e-7,6.372924574795884e-8,-10842.487711963557,-153.4212039558638,-2729.0
