Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
TRE_WEST_landbasedwind_class3_moderate_8,2,0.0,0.0,2.3621389903412735e-5,2.3621389903412735e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_0,2,0.0,0.0,0.0002809124923040992,0.0002809124923040992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_1,2,0.0,0.0,5529.07144677197,5529.07144677197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_2,2,0.0,0.0,0.00038567307692793413,0.00038567307692793413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_3,2,0.0,0.0,7.535786169514578e-5,7.535786169514578e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_4,2,0.0,0.0,7.36525798096841e-5,7.36525798096841e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_5,2,0.0,0.0,0.00010469710285908096,0.00010469710285908096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_6,2,0.0,0.0,4.7670072627187876e-5,4.7670072627187876e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_7,2,0.0,0.0,4.896238167114278e-5,4.896238167114278e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_utilitypv_class1_moderate_8,2,0.0,0.0,6.643224423923653e-5,6.643224423923653e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_trans_light_duty_1,1,12178.9,0.0,0.0,12178.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_trans_light_duty_1,2,661.2,0.0,0.0,661.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_comm_water_heat_1,1,151.8,0.0,0.0,151.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_comm_water_heat_1,2,8.2,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_res_water_heat_1,1,661.8,0.0,0.0,661.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_res_water_heat_1,2,35.9,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_comm_space_heat_cool_1,1,3437.3,0.0,0.0,3437.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_comm_space_heat_cool_1,2,186.6,0.0,0.0,186.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_res_space_heat_cool_1,1,6078.6,0.0,0.0,6078.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_WEST_res_space_heat_cool_1,2,330.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,173227.5,27453.38143441588,69959.65399006319,215733.77255564736,7330.0,0.0,0.0031719690670228983,7330.003171969067,0.0,0.0,0.0,0.0
