Resource,RE_DAC_1,RE_DAC_2,RE_DAC_1,RE_DAC_2
Zone,1,2,1,2
CO2,CO2 gross,CO2 gross,CO2 net,CO2 net
x152,-118.28507967320076,-0.0,-118.28507967320076,0.0
x153,-118.2850799608992,-0.0,-118.2850799608992,0.0
x154,-118.28507996462245,-0.0,-118.28507996462245,0.0
x155,-118.28507996194081,-0.0,-118.28507996194081,0.0
x156,-118.28507896310471,-0.0,-118.28507896310471,0.0
x157,-118.2850788463254,-0.0,-118.2850788463254,0.0
x158,-118.28507884365567,-0.0,-118.28507884365567,0.0
x159,-118.28507883820618,-0.0,-118.28507883820618,0.0
x160,-118.28507882959786,-0.0,-118.28507882959786,0.0
x161,-118.28507880485573,-0.0,-118.28507880485573,0.0
x162,-118.28507865803907,-0.0,-118.28507865803907,0.0
x163,-11.00866354961848,-0.0,-11.00866354961848,0.0
x164,-118.28507865158664,-0.0,-118.28507865158664,0.0
x165,-118.2850788477852,-0.0,-118.2850788477852,0.0
x166,-118.28507887650605,-0.0,-118.28507887650605,0.0
x167,-118.2850788892943,-0.0,-118.2850788892943,0.0
x168,-118.28507889786908,-0.0,-118.28507889786908,0.0
x169,-118.28507888603907,-0.0,-118.28507888603907,0.0
x170,-118.28507887559296,-0.0,-118.28507887559296,0.0
x171,-118.2850788781282,-0.0,-118.2850788781282,0.0
x172,-118.28507888054598,-0.0,-118.28507888054598,0.0
x173,-118.2850788822931,-0.0,-118.2850788822931,0.0
x174,-118.28507888386753,-0.0,-118.28507888386753,0.0
x175,-118.28507888531323,-0.0,-118.28507888531323,0.0
x176,-118.2850788860879,-0.0,-118.2850788860879,0.0
x177,-118.28507888587743,-0.0,-118.28507888587743,0.0
x178,-118.28507888611684,-0.0,-118.28507888611684,0.0
x179,-118.28507888617679,-0.0,-118.28507888617679,0.0
x180,-118.285078885589,-0.0,-118.285078885589,0.0
x181,-118.28507888426387,-0.0,-118.28507888426387,0.0
x182,-118.28507888326132,-0.0,-118.28507888326132,0.0
x183,-118.28507888171389,-0.0,-118.28507888171389,0.0
x184,-118.28507887911773,-0.0,-118.28507887911773,0.0
x185,-118.28507887437968,-0.0,-118.28507887437968,0.0
x186,-118.28507884722882,-0.0,-118.28507884722882,0.0
x187,-118.28507890307364,-0.0,-118.28507890307364,0.0
x188,-118.2850789005172,-0.0,-118.2850789005172,0.0
x189,-118.28507889833183,-0.0,-118.28507889833183,0.0
x190,-118.28507889612052,-0.0,-118.28507889612052,0.0
x191,-118.28507889463872,-0.0,-118.28507889463872,0.0
x192,-118.28507889065008,-0.0,-118.28507889065008,0.0
x193,-118.28507900953878,-0.0,-118.28507900953878,0.0
x194,-118.28508024917886,-0.0,-118.28508024917886,0.0
x195,-118.28508025123755,-0.0,-118.28508025123755,0.0
x196,-118.28508025091315,-0.0,-118.28508025091315,0.0
x197,-118.2850802503612,-0.0,-118.2850802503612,0.0
x198,-118.28508024978957,-0.0,-118.28508024978957,0.0
x199,-118.2850798233343,-0.0,-118.2850798233343,0.0
x200,-118.28507982164629,-0.0,-118.28507982164629,0.0
x201,-118.2850798203747,-0.0,-118.2850798203747,0.0
x202,-118.28507981933623,-0.0,-118.28507981933623,0.0
x203,-118.28507981993351,-0.0,-118.28507981993351,0.0
x204,-118.28508052212653,-0.0,-118.28508052212653,0.0
x205,-118.28508052126514,-0.0,-118.28508052126514,0.0
x206,-118.28508052097501,-0.0,-118.28508052097501,0.0
x207,-118.28508052138062,-0.0,-118.28508052138062,0.0
x208,-118.28508052153185,-0.0,-118.28508052153185,0.0
x209,-118.28508052285162,-0.0,-118.28508052285162,0.0
x210,-118.28507726797794,-0.0,-118.28507726797794,0.0
x211,-118.28507726530393,-0.0,-118.28507726530393,0.0
x212,-118.28507711671294,-0.0,-118.28507711671294,0.0
x213,-118.28507719409855,-0.0,-118.28507719409855,0.0
x214,-118.28507720562308,-0.0,-118.28507720562308,0.0
x215,-118.2850772100848,-0.0,-118.2850772100848,0.0
x216,-118.28507721281022,-0.0,-118.28507721281022,0.0
x217,-118.28507721438307,-0.0,-118.28507721438307,0.0
x218,-118.28507885548738,-0.0,-118.28507885548738,0.0
x219,-118.28507885534184,-0.0,-118.28507885534184,0.0
x220,-118.2850788548302,-0.0,-118.2850788548302,0.0
x221,-118.28507885432022,-0.0,-118.28507885432022,0.0
x222,-118.28507885338787,-0.0,-118.28507885338787,0.0
x223,-118.28507883245389,-0.0,-118.28507883245389,0.0
x224,-118.28507719165505,-0.0,-118.28507719165505,0.0
x225,-118.28507883212804,-0.0,-118.28507883212804,0.0
x226,-118.28508051944847,-0.0,-118.28508051944847,0.0
x227,-118.2850805190027,-0.0,-118.2850805190027,0.0
