region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
TRE_WEST,TRE_WEST_natural_gas_fired_combustion_turbine_2,2,2,21,0.0,0.0,3.259535799547127e6,0.0,23067.61028004708,167502.3064653417,0.0,79972.26585853627,0.0,5.711727494532881e6,0.0,0.0,0.0,0.0,0.0,5.711727494532881e6,3.530077982151052e6,2.1816495123818293e6
TRE_WEST,TRE_WEST_natural_gas_internal_combustion_engine_1,2,1,22,0.0,0.0,191091.67713453554,0.0,46238.095489581465,318910.75003385596,0.0,52524.55123223871,0.0,657867.895551481,0.0,0.0,0.0,0.0,0.0,657867.895551481,608765.0738902118,49102.82166126929
TRE_WEST,TRE_WEST_natural_gas_steam_turbine_1,2,1,23,0.0,0.0,11.473361481057509,0.0,0.5225248831559568,20.964585618622337,0.0,1.7144697829107227,0.0,19.753257418499924,0.0,0.0,0.0,0.0,0.0,19.753257418499924,34.674941765746524,-14.9216843472466
TRE_WEST,TRE_WEST_onshore_wind_turbine_1,2,1,24,0.0,0.0,1.0952743645303168e9,0.0,0.0,0.0,0.0,0.0,0.0,1.0952774256843016e9,0.0,0.0,0.0,0.0,0.0,1.0952774256843016e9,1.0952743645303168e9,3061.15398478508
TRE_WEST,TRE_WEST_petroleum_liquids_1,2,1,25,0.0,0.0,37.233690486772275,0.0,0.44336681107803305,15.351547772386306,0.0,2.3195668786867136,0.0,31.71682700100352,0.0,0.0,0.0,0.0,0.0,31.71682700100352,55.34817194892333,-23.63134494791981
TRE_WEST,TRE_WEST_solar_photovoltaic_1,2,1,26,0.0,0.0,2.1857437668376708e8,0.0,0.0,0.0,0.0,0.0,0.0,3.48445450073537e8,0.0,0.0,0.0,0.0,0.0,3.48445450073537e8,2.1857437668376708e8,1.2987107338976991e8
TRE,TRE_distributed_generation_1,1,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8727902277707547e8,0.0,0.0,0.0,0.0,0.0,4.8727902277707547e8,0.0,4.8727902277707547e8
TRE_WEST,TRE_WEST_distributed_generation_1,2,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3701776058793835e7,0.0,0.0,0.0,0.0,0.0,2.3701776058793835e7,0.0,2.3701776058793835e7
TRE,TRE_naturalgas_ccccsavgcf_conservative_0,1,0,29,10.702693376233936,0.0,5.831249847182072,0.0,3.0811287540032315,13.05268844487563,0.0,1.1382802574651367,0.0,15.48934365504929,0.0,0.0,0.0,0.0,0.0,15.48934365504929,33.80604067976,-18.316697024710713
TRE,TRE_naturalgas_ccavgcf_moderate_0,1,0,30,21.911207784547912,0.0,12.976180583065599,0.0,5.021875089232105,56.691947882341275,0.0,2.786374890646018,0.0,87.87851179389891,0.0,0.0,0.0,0.0,0.0,87.87851179389891,99.3875862298329,-11.509074435933996
TRE,TRE_naturalgas_ctavgcf_moderate_0,1,0,31,5.882272212530811,0.0,3.034333492094007,0.0,1.7598619173090524,12.145159063733239,0.0,1.743983895962794,0.0,13.484839582657319,0.0,0.0,0.0,0.0,0.0,13.484839582657319,24.565610581629905,-11.080770998972586
TRE,TRE_battery_moderate_0,1,0,32,9.111482456171666,14.411875819713634,5.294521427237948,8.375342843271682,0.1927786055605677,0.0,0.22776300273696043,0.0,16.120303927667468,43.28577361663744,0.0,0.0,0.0,0.0,0.0,43.28577361663744,53.734068082359926,-10.448294465722483
TRE,TRE_nuclear_nuclear_moderate_0,1,0,33,8.994641116409795,0.0,6.050231193407961,0.0,0.6822407507867025,1.7806483595532867,0.0,0.5376099871102124,0.0,6.825857933434316,0.0,0.0,0.0,0.0,0.0,6.825857933434316,18.045371407267957,-11.219513473833642
TRE,TRE_geothermal_hydroflash_moderate_0,1,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE,TRE_landbasedwind_class3_moderate_0,1,0,35,3.0869914380528193e9,0.0,1.689980685358968e9,0.0,-1.77426158966942e9,0.0,0.0,0.0,0.0,3.0027087373225636e9,0.0,0.0,0.0,0.0,0.0,3.0027087373225636e9,3.002710533742367e9,-1796.4198031425476
TRE,TRE_landbasedwind_class3_moderate_1,1,1,36,14.781783781633639,0.0,8.984202764839594,0.0,-6.731630763196356,0.0,0.0,0.0,0.0,12.991626632497265,0.0,0.0,0.0,0.0,0.0,12.991626632497265,17.034355783276876,-4.042729150779611
TRE,TRE_landbasedwind_class3_moderate_2,1,2,37,20.629316256295834,0.0,11.450581314381479,0.0,-9.776182166505118,0.0,0.0,0.0,0.0,18.278036008721045,0.0,0.0,0.0,0.0,0.0,18.278036008721045,22.303715404172195,-4.025679395451149
TRE,TRE_landbasedwind_class3_moderate_3,1,3,38,8.603846289895152,0.0,4.918601264771606,0.0,-3.1054876853599893,0.0,0.0,0.0,0.0,5.98414048276382,0.0,0.0,0.0,0.0,0.0,5.98414048276382,10.416959869306769,-4.432819386542949
